"","box_id","year","date_flown"
"1",16,2012,2012-10-12
"2",13,2012,2012-10-13
"3",23,2012,2012-10-14
"4",15,2012,2012-10-15
"5",14,2012,2012-10-16
"11",18,2012,2012-10-22
"12",17,2012,2012-10-23
"13",9,2012,2012-10-24
"14",8,2012,2012-10-25
"15",4,2012,2012-10-26
"16",11,2012,2012-10-27
"18",5,2012,2012-10-29
"20",1,2012,2012-10-31
"21",22,2012,2012-11-01
"22",7,2012,2012-11-02
"23",10,2012,2012-11-03
"26",21,2012,2012-11-06
"28",6,2012,2012-11-08
"29",19,2012,2012-11-09
"30",12,2012,2012-11-10
"31",20,2012,2012-11-11
"34",2,2012,2012-11-14
"38",24,2012,2012-11-18
"39",3,2012,2012-11-19
"47",4,2013,2013-10-13
"48",16,2013,2013-10-14
"49",12,2013,2013-10-15
"50",18,2013,2013-10-16
"51",11,2013,2013-10-17
"52",15,2013,2013-10-18
"54",14,2013,2013-10-20
"56",10,2013,2013-10-22
"57",23,2013,2013-10-23
"58",8,2013,2013-10-24
"61",17,2013,2013-10-27
"62",13,2013,2013-10-28
"63",22,2013,2013-10-29
"67",1,2013,2013-11-02
"68",7,2013,2013-11-03
"70",2,2013,2013-11-05
"72",3,2013,2013-11-07
"73",6,2013,2013-11-08
"74",24,2013,2013-11-09
"75",19,2013,2013-11-10
"77",9,2013,2013-11-12
"83",20,2013,2013-11-18
"84",21,2013,2013-11-19
"86",5,2013,2013-11-21
"93",16,2014,2014-10-13
"94",13,2014,2014-10-14
"97",23,2014,2014-10-17
"98",12,2014,2014-10-18
"99",18,2014,2014-10-19
"100",2,2014,2014-10-20
"101",17,2014,2014-10-21
"102",14,2014,2014-10-22
"104",3,2014,2014-10-24
"105",5,2014,2014-10-25
"106",15,2014,2014-10-26
"108",11,2014,2014-10-28
"109",10,2014,2014-10-29
"111",4,2014,2014-10-31
"113",19,2014,2014-11-02
"116",24,2014,2014-11-05
"117",8,2014,2014-11-06
"118",22,2014,2014-11-07
"119",6,2014,2014-11-08
"122",7,2014,2014-11-11
"125",9,2014,2014-11-14
"128",20,2014,2014-11-17
"129",21,2014,2014-11-18
"130",1,2014,2014-11-19
"142",16,2015,2015-10-16
"143",12,2015,2015-10-17
"144",23,2015,2015-10-18
"145",15,2015,2015-10-19
"146",17,2015,2015-10-20
"147",18,2015,2015-10-21
"150",13,2015,2015-10-24
"151",14,2015,2015-10-25
"152",2,2015,2015-10-26
"153",8,2015,2015-10-27
"154",22,2015,2015-10-28
"155",10,2015,2015-10-29
"159",5,2015,2015-11-02
"160",21,2015,2015-11-03
"161",7,2015,2015-11-04
"163",4,2015,2015-11-06
"164",11,2015,2015-11-07
"165",6,2015,2015-11-08
"169",3,2015,2015-11-12
"173",9,2015,2015-11-16
"175",1,2015,2015-11-18
"176",19,2015,2015-11-19
"179",20,2015,2015-11-22
"180",24,2015,2015-11-23
"185",12,2016,2016-10-12
"186",16,2016,2016-10-13
"187",14,2016,2016-10-14
"189",5,2016,2016-10-16
"190",23,2016,2016-10-17
"192",13,2016,2016-10-19
"193",17,2016,2016-10-20
"194",10,2016,2016-10-21
"196",18,2016,2016-10-23
"197",2,2016,2016-10-24
"198",15,2016,2016-10-25
"199",8,2016,2016-10-26
"200",9,2016,2016-10-27
"201",3,2016,2016-10-28
"203",7,2016,2016-10-30
"204",22,2016,2016-10-31
"209",4,2016,2016-11-05
"210",11,2016,2016-11-06
"211",1,2016,2016-11-07
"213",24,2016,2016-11-09
"218",19,2016,2016-11-14
"219",20,2016,2016-11-15
"222",6,2016,2016-11-18
"223",21,2016,2016-11-19
"231",16,2017,2017-10-13
"232",13,2017,2017-10-14
"236",12,2017,2017-10-18
"237",15,2017,2017-10-19
"238",6,2017,2017-10-20
"239",23,2017,2017-10-21
"240",18,2017,2017-10-22
"241",17,2017,2017-10-23
"245",14,2017,2017-10-27
"246",8,2017,2017-10-28
"247",21,2017,2017-10-29
"248",22,2017,2017-10-30
"250",4,2017,2017-11-01
"253",20,2017,2017-11-04
"254",9,2017,2017-11-05
"255",2,2017,2017-11-06
"256",19,2017,2017-11-07
"257",7,2017,2017-11-08
"258",11,2017,2017-11-09
"260",1,2017,2017-11-11
"261",3,2017,2017-11-12
"266",10,2017,2017-11-17
"268",24,2017,2017-11-19
"272",5,2017,2017-11-23
"277",16,2018,2018-10-13
"278",13,2018,2018-10-14
"281",23,2018,2018-10-17
"282",14,2018,2018-10-18
"283",11,2018,2018-10-19
"284",18,2018,2018-10-20
"285",5,2018,2018-10-21
"286",15,2018,2018-10-22
"288",22,2018,2018-10-24
"289",17,2018,2018-10-25
"290",8,2018,2018-10-26
"291",21,2018,2018-10-27
"292",9,2018,2018-10-28
"295",24,2018,2018-10-31
"296",19,2018,2018-11-01
"297",2,2018,2018-11-02
"301",4,2018,2018-11-06
"302",1,2018,2018-11-07
"303",7,2018,2018-11-08
"304",10,2018,2018-11-09
"305",6,2018,2018-11-10
"306",20,2018,2018-11-11
"313",3,2018,2018-11-18
"318",12,2018,2018-11-23
"323",16,2019,2019-10-13
"324",12,2019,2019-10-14
"325",13,2019,2019-10-15
"326",23,2019,2019-10-16
"327",14,2019,2019-10-17
"328",15,2019,2019-10-18
"330",3,2019,2019-10-20
"331",4,2019,2019-10-21
"332",22,2019,2019-10-22
"337",7,2019,2019-10-27
"339",10,2019,2019-10-29
"340",11,2019,2019-10-30
"341",18,2019,2019-10-31
"343",17,2019,2019-11-02
"344",5,2019,2019-11-03
"345",2,2019,2019-11-04
"346",21,2019,2019-11-05
"349",1,2019,2019-11-08
"350",24,2019,2019-11-09
"356",8,2019,2019-11-15
"359",20,2019,2019-11-18
"360",9,2019,2019-11-19
"362",6,2019,2019-11-21
"363",19,2019,2019-11-22
"369",16,2020,2020-10-12
"370",23,2020,2020-10-13
"371",13,2020,2020-10-14
"372",18,2020,2020-10-15
"373",12,2020,2020-10-16
"374",14,2020,2020-10-17
"377",15,2020,2020-10-20
"378",17,2020,2020-10-21
"379",8,2020,2020-10-22
"380",1,2020,2020-10-23
"381",9,2020,2020-10-24
"383",5,2020,2020-10-26
"385",10,2020,2020-10-28
"387",21,2020,2020-10-30
"388",22,2020,2020-10-31
"389",6,2020,2020-11-01
"390",7,2020,2020-11-02
"392",4,2020,2020-11-04
"397",11,2020,2020-11-09
"398",2,2020,2020-11-10
"399",24,2020,2020-11-11
"400",19,2020,2020-11-12
"401",20,2020,2020-11-13
"408",3,2020,2020-11-20
"418",10,2021,2021-10-16
"419",11,2021,2021-10-17
"420",16,2021,2021-10-18
"421",12,2021,2021-10-19
"422",8,2021,2021-10-20
"426",23,2021,2021-10-24
"427",13,2021,2021-10-25
"428",18,2021,2021-10-26
"432",15,2021,2021-10-30
"435",3,2021,2021-11-02
"436",22,2021,2021-11-03
"437",14,2021,2021-11-04
"439",4,2021,2021-11-06
"441",5,2021,2021-11-08
"442",17,2021,2021-11-09
"443",7,2021,2021-11-10
"444",1,2021,2021-11-11
"445",24,2021,2021-11-12
"447",21,2021,2021-11-14
"451",19,2021,2021-11-18
"452",20,2021,2021-11-19
"458",2,2021,2021-11-25
